url_hash,cost_for_two
f2175219b60330dc62ad74aba66641ecf7127a98,"₹2,000 for two"
2361638ed3618ada43b1d7a686bfd1003a3ad81b,"₹1,200 for two"
b39cc8b334b0e380a5d7daae941813a3f59903ef,"₹1,800 for two"
07212366bffc4aadfa896219a7e6eea7ad30a0e5,"₹3,500 for two"
bec5acd4e1727676872fb1b81b80c47e04d5f1d7,"₹1,400 for two"
e908ae8d38b476783329b2e7d8b50566baf1acd3,₹400 for two
dc66b56a2d1cf91ecfc299f058da43a4e745180a,₹450 for two
e8d52ce235eae9d96ebfe9fdb29c5ba565435aec,₹400 for two
88237b126f25032bf484644db916038aee2f4f58,"₹1,600 for two"
867d8b0f9074aa55ca18f61fcbf8bd23022af0d8,"₹1,400 for two"
5c09b734bf7e6f263d4022afe6729e94e37526c6,"₹3,500 for two"
e16e6d133931cd812a4b8b45fb3749a2dfbe53d3,"₹1,500 for two"
4280555cb961a07b8676a18149ccdc07d6b93812,"₹3,500 for two"
8b922717ad0445be3a95825f2b9dbffafac63faf,"₹1,200 for two"
c51fdaf61766b0ddb65961343daf2d2edbed16f1,"₹1,800 for two"
34f940dcca068343cfd0ae5fa8896e264f5131cd,₹400 for two
0cc0250aa695dbfd0a1662eab01e45de388b24da,₹400 for two
db5c56f0a6528ca52fd42b103affc45655d3177f,₹500 for two
a44185ab96fb81c7e04cf3a6674940cfc9dbb79a,"₹1,500 for two"
492f7c73d8285e050555982f461e3c9d177c1221,"₹1,700 for two"
a15c30fa9396a4adfd5eae7aa100fee9722ccc0d,₹850 for two
27883a0b32d4d224469463336387d47f0b8ed51b,"₹1,100 for two"
a162c4562519bbd7a82f98a8a086798232171523,"₹1,500 for two"
ff59345a7305029f5769516148e0c6552d9e12da,₹950 for two
949ca6f30163f7773f03f33f904421ebe0fc0512,₹500 for two
912fa33dfbd456e116a097c0d70d9fc46b3e9bb5,₹300 for two
8b11f7e39e0b111e63fd2544796697322a8d3fcf,"₹1,400 for two"
ee85599f042435d15f0daebd4a82740f62781978,"₹1,800 for two"
2df8634d52c8f07f32e63df4621c2b9efee1f8ed,₹300 for two
1799377e23ec01a362bf58e6c7b8ad85796f086f,"₹1,400 for two"
a5fc3f09ede67fd1e462ea5206950fc6b3092b59,₹400 for two
