poi_code,h3index
POI_IND_9999_0x3be7c620eaa8e5fd:0x8bcbe1b384769a6d,89608b569cbffff
POI_IND_9999_0x3be7c0facd914a03:0xadb9f59bc03b7d9e,89608b529b7ffff
POI_IND_9999_0x3be7c3dca4d06015:0x5786c7ccc88ab89c,89608bcce4bffff
POI_IND_9999_0x3be7b61c2056d2dd:0x4e8d474731030c3,89608b093dbffff
POI_IND_9999_0x3be7b80060f2fa67:0x7981ebf961dd5da5,89608b54e7bffff
POI_IND_9999_0x3be7cf5155555555:0x391b6e3e8d8ab9b7,89608b569c3ffff
POI_IND_9999_0x3be7c9d2ae033185:0x318cf88a4a5bf516,89608b549dbffff
POI_IND_9999_0x3be7c9d366414d5d:0xf4e57cf5fbba1f89,89608b0b387ffff
POI_IND_9999_0x3be7b798c26de465:0x19bd58e8a2b0565,89608b44697ffff
POI_IND_9999_0x3be7c74cddfc01c7:0xc72f015e34d271aa,89608b54e8bffff
POI_IND_9999_0x3be7b7d9de1c5d0f:0x89d77768d9be3936,89608b461afffff
