poicode,estimated_visit
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,710
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,4
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,246
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,333
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,322
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,2
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,194
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,303
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,254
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,73
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,343
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,417
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,504
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,119
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,302
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,669
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,300
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,720
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,177
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,456
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,101
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,64
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,80
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,362
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1482
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1265
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1203
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1285
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1524
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1940
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,328
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,901
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1074
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1272
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1518
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1343
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1257
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1095
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1277
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1279
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,628
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1021
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1665
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1414
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1215
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1841
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,678
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1244
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1012
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,698
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,950
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1451
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1697
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,1481
POI_IND_9999_0x3be7b6cf1f733763:0xc0b872373e92350,797
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,215
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,413
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,1033
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,279
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,521
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,679
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,500
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,637
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,496
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,1058
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,1256
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,646
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,574
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,825
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,1237
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,992
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,1034
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,641
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,529
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,1303
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,541
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,846
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,513
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,335
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,656
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,278
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,429
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,368
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,158
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,1550
POI_IND_9999_0x3be7c8721daf31a5:0x1b952a70b2008d5e,466
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,146
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,253
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,1
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,50
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,49
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,150
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,97
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,1
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,96
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,102
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,49
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,47
POI_IND_9999_0x3be7b6500b80301f:0x91b2574693df926a,280
