h3index,district_code,wbi
89608b46037ffff,IN.MH.MU,76.31527748
89608b46277ffff,IN.MH.MU,69.16656766
89608b46297ffff,IN.MH.MU,70.06595661
89608b46347ffff,IN.MH.MU,75.77454052
89608b463abffff,IN.MH.MU,73.41301493
89608b465a3ffff,IN.MH.MU,78.06985556
89608b466c3ffff,IN.MH.MU,57.1116642
89608b46ed3ffff,IN.MH.MU,59.96764776
89608b47147ffff,IN.MH.MU,67.35074174
89608b47313ffff,IN.MH.MU,66.85188657
89608b54d93ffff,IN.MH.MU,71.91829258
89608b56b83ffff,IN.MH.MU,73.80017393
89608b56d37ffff,IN.MH.MU,64.97556081
89608b096dbffff,IN.MH.MU,71.219204
89608b0b69bffff,IN.MH.MU,79.23295349
89608b4638fffff,IN.MH.MU,71.3917516
89608b465abffff,IN.MH.MU,76.95698127
89608b465cfffff,IN.MH.MU,70.3687963
89608b46db3ffff,IN.MH.MU,48.97235634
89608b541c7ffff,IN.MH.MU,66.99871034
89608b54b93ffff,IN.MH.MU,67.88370987
89608b553b7ffff,IN.MH.MU,71.88948899
89608b55cdbffff,IN.MH.MU,69.34800811
89608b56d3bffff,IN.MH.MU,68.824671
89608b09343ffff,IN.MH.MU,65.19901017
89608b0b4cfffff,IN.MH.MU,70.23038455
89608b0b60fffff,IN.MH.MU,75.50216057
89608b1904bffff,IN.MH.MU,46.05858365
89608b44293ffff,IN.MH.MU,61.65580097
89608b444dbffff,IN.MH.MU,70.25802747
89608b463bbffff,IN.MH.MU,71.34807774
89608b54323ffff,IN.MH.MU,58.51692651
89608b0b21bffff,IN.MH.MU,59.44153638
89608b44627ffff,IN.MH.MU,61.66219689
89608b475b7ffff,IN.MH.MU,56.33578359
89608b5486bffff,IN.MH.MU,64.67767927
89608b548d7ffff,IN.MH.MU,71.6606746
89608b54cd3ffff,IN.MH.MU,68.37276651
89608b54ea7ffff,IN.MH.MU,69.70322451
89608b5508fffff,IN.MH.MU,52.74314699
89608b5682fffff,IN.MH.MU,75.43056512
89608b56dd3ffff,IN.MH.MU,64.59240591
89608b0b54fffff,IN.MH.MU,66.26303955
89608b44217ffff,IN.MH.MU,60.77905933
89608b44447ffff,IN.MH.MU,68.39670527
89608b46a4bffff,IN.MH.MU,58.1266697
89608b4718fffff,IN.MH.MU,66.01247554
89608b5416bffff,IN.MH.MU,70.23103612
89608b542a7ffff,IN.MH.MU,66.08864016
89608b5432fffff,IN.MH.MU,56.82252385
89608b54877ffff,IN.MH.MU,70.74297105
89608b55cc7ffff,IN.MH.MU,70.16827572
89608b56c57ffff,IN.MH.MU,60.22670231
89608b09453ffff,IN.MH.MU,69.38150692
89608b193bbffff,IN.MH.MU,45.94092966
89608b19a87ffff,IN.MH.MU,58.40683476
89608b44093ffff,IN.MH.MU,70.74846678
89608b44567ffff,IN.MH.MU,63.3370166
89608b45507ffff,IN.MH.MU,70.64003122
