poi_code,cost_for_two
0x3be7c991aead17e9:0xbb1a797789e118c4,"₹1,500 for two"
0x3be7b12ad3f10fb9:0x1dc127e9ffc1a031,₹550 for two
0x3be7b12e479f614b:0xd78d69252b5a1a11,"₹1,200 for two"
0x3be7b0e2d0ad3db9:0x2775a1b33f5d54ce,₹850 for two
0x3be7b0fdf80c61c9:0x6249d85bc45364d2,"₹1,000 for two"
0x3be7c94a16da4de9:0x2b2ab65e5fad025a,"₹2,500 for two"
0x3be7cf001b150a99:0x33b7511a7e1ecde3,₹700 for two
0x3be7b61b883b46e1:0xb2ff0e542e1bf296,"₹1,800 for two"
0x3be7b1764bc6949f:0x277004c2bf665b5f,₹600 for two
0x3be7b0fd7e8c1e09:0x86a874fdea0ecc26,
0x3be7cf23d904a86f:0xab9e76632020be85,₹550 for two
0x3be7cf323d901be5:0x4b020a7767df35d0,"₹1,200 for two"
0x3be7b128f22a61d3:0x463810d3aad1ab3c,₹850 for two
0x3be7c3dc97727233:0xe2d1e84329b6421a,"₹2,000 for two"
0x3be7ced26e4f589f:0x84e2e6d9d48e7272,"₹1,900 for two"
0x3be7cf0032ed4137:0x56998a41b30149a3,"₹1,200 for two"
0x3be7b0e57de5c75f:0x502908e9711496fd,₹900 for two
0x3be7cf2d87e6a455:0x90422785635c150c,"₹1,200 for two"
0x3be7b12901446cb1:0xe0be637c9d347e1b,₹950 for two
0x3be7b1020a1f88a9:0xa7e6e8f3a4ae0bf6,₹650 for two
0x3be7cefa01782c2f:0x9da7418142498f58,₹700 for two
0x3be7d14b0e7f3d8f:0x1e5f6205e8edd181,"₹2,000 for two"
0x3be7d1c3a395af9d:0xa7611c55b66a37f8,"₹2,500 for two"
0x3be7c9195063bff3:0xa0357753ca39f4bb,"₹1,600 for two"
0x3be7c91f42c5ddd5:0x3a062fdf8389caca,"₹1,300 for two"
0x3be7cf57c1a12695:0xb0e6e03aede2b41,₹700 for two
0x3be7b100a94b1437:0xff734fa0ae837190,"₹1,200 for two"
0x3be7b0cccd155555:0x8fbd6ab6775f9c8a,"₹1,200 for two"
0x3be7b19f4adb8e23:0x82e17c65fde296ea,"₹1,600 for two"
0x3be7b11f80555555:0x1fd528dfa241dddd,₹950 for two
0x3be7cf76d9070c83:0x6e69782175073306,"₹3,500 for two"
0x3be7cf75b15199fb:0xfb55d7b6390d4833,"₹2,000 for two"
0x3be7cf28a5a2da67:0xa46ce790e7fed49f,"₹1,200 for two"
0x3be7cf7516fd70f9:0x47413a92036c75cc,"₹3,000 for two"
0x3be7b187407ee26f:0x3141181951e103bd,
